gbifID,institutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,species,lon,lat,year,country,region
2672043342,CLO,OBS747712626,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.299835,17.566872,2019,Belize,Belize
2672327303,CLO,OBS734171841,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.68293,17.743822,2019,Belize,Orange Walk
2673121481,CLO,OBS732696068,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.71336,17.283493,2019,Belize,Cayo
2673463881,CLO,OBS733979691,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.62966,17.762554,2019,Belize,Orange Walk
2677340438,CLO,OBS737520171,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2678630098,CLO,OBS737515840,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2679179199,CLO,OBS738647498,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.55596,17.302568,2019,Belize,Belize
2681630223,CLO,OBS742914559,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2683563979,CLO,OBS736856586,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.653915,17.751793,2019,Belize,Orange Walk
2731526558,CLO,OBS738264879,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.15194,18.192032,2019,Belize,Corozal
2732600636,CLO,OBS736494995,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2732918017,CLO,OBS738296074,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.15568,18.198608,2019,Belize,Corozal
2735439927,CLO,OBS733978482,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.65186,17.741182,2019,Belize,Orange Walk
